queryid,query,name,floorprice,totalvolume,totalsales,uniqueowners,tokensavailable
1,club,space ape moon club,15.766111,47.298332,3,1,3
1,club,vault club collector card,10.389969,20.83384,2,2,2
1,club,pigbossclub,0.84085923,691.84106,98,21,96
1,club,broke ape yachy club,1.1320544,32.03714,12,10,12
2,bayc,rr/bayc,5.660272,175.46843,6,4,6
2,bayc,burnbayc,1.1245614,2429.165,84,20,79
3,punks,alco punks,10.51074,10.51074,1,1,1
3,punks,rr/punks,1.1320544,7.8111753,2,2,2
6,dog,it is a dog,3153.2222,9900.59,3,3,3
7,nft,bxnft pass,9.249452,270.86176,23,20,22
7,nft,quanneirennft,6.83093,3659.1873,69,12,65
7,nft,lying nft,0.94596666,6139.6494,160,41,146
7,nft,god hates nfts (apparently),1.1320544,846.1211,26,15,26
7,nft,god hates nfts,3.056547,4392.949,111,40,109
8,art,women and weapons season two: artirium wars,49.400482,991.08435,15,11,15
8,art,kaiju pop art,1.051074,17365.986,379,158,291
8,art,azukiart,28.114035,766016.8,1647,411,1253
11,dead,undead occult,4.4982457,4.4982457,1,1,1
13,okay,okay tigers,15.743859,62.975437,4,1,4
14,bay,rr/bayc,5.660272,175.46843,6,4,6
14,bay,burnbayc,1.1245614,2429.165,84,20,79
15,ape,rr/ape,4.414511,24.174704,4,2,4
15,ape,space ape moon club,15.766111,47.298332,3,1,3
15,ape,zombie apez,3.1532223,4501.119,117,57,109
15,ape,ape as one,5.25537,280003.12,3650,1008,2717
15,ape,rr/apecoin,2.1366665,180.94194,15,6,15
15,ape,apeslol,2.627685,26.066635,6,2,6
15,ape,broke ape yachy club,1.1320544,32.03714,12,10,12
